Time,Eye contact,Synchrony shift,Section
00:00:00:000,0,0,part1
00:00:00:020,0,0,part1
00:00:00:040,0,0,part1
00:00:00:060,0,0,part1
00:00:00:080,0,0,part1
00:00:00:100,0,0,part1
00:00:00:120,0,0,part1
00:00:00:140,0,0,part1
00:00:00:160,0,0,part1
00:00:00:180,0,0,part1
00:00:00:200,0,0,part1
00:00:00:220,0,0,part1
00:00:00:240,0,0,part1
00:00:00:260,0,0,part1
00:00:00:280,0,0,part1
00:00:00:300,0,0,part1
00:00:00:320,0,0,part1
00:00:00:340,0,0,part1
00:00:00:360,0,0,part1
00:00:00:380,0,0,part1
00:00:00:400,0,0,part1
00:00:00:420,0,0,part1
00:00:00:440,0,0,part1
00:00:00:460,0,0,part1
00:00:00:480,0,0,part1
00:00:00:500,0,0,part1
00:00:00:520,0,0,part1
00:00:00:540,0,0,part1
00:00:00:560,0,0,part1
00:00:00:580,0,0,part1
00:00:00:600,0,0,part1
00:00:00:620,0,0,part1
00:00:00:640,0,0,part1
00:00:00:660,0,0,part1
00:00:00:680,0,0,part1
00:00:00:700,0,0,part1
00:00:00:720,0,0,part1
00:00:00:740,0,0,part1
00:00:00:760,0,0,part1
00:00:00:780,0,0,part1
00:00:00:800,0,0,part1
00:00:00:820,0,0,part1
00:00:00:840,0,0,part1
00:00:00:860,0,0,part1
00:00:00:880,0,0,part1
00:00:00:900,0,0,part1
00:00:00:920,0,0,part1
00:00:00:940,0,0,part1
00:00:00:960,0,0,part1
00:00:00:980,0,0,part1
00:00:01:000,0,0,part1
00:00:01:020,0,0,part1
00:00:01:040,0,0,part1
00:00:01:060,0,0,part1
00:00:01:080,0,0,part1
00:00:01:100,0,0,part1
00:00:01:120,0,0,part1
00:00:01:140,0,0,part1
00:00:01:160,0,0,part1
00:00:01:180,0,0,part1
00:00:01:200,0,0,part1
00:00:01:220,0,0,part1
00:00:01:240,0,0,part1
00:00:01:260,0,0,part1
00:00:01:280,0,0,part1
00:00:01:300,0,0,part1
00:00:01:320,0,0,part1
00:00:01:340,0,0,part1
00:00:01:360,0,0,part1
00:00:01:380,0,0,part1
00:00:01:400,0,0,part1
00:00:01:420,0,0,part1
00:00:01:440,0,0,part1
00:00:01:460,0,0,part1
00:00:01:480,0,0,part1
00:00:01:500,0,0,part1
00:00:01:520,0,0,part1
00:00:01:540,0,0,part1
00:00:01:560,0,0,part1
00:00:01:580,0,0,part1
00:00:01:600,0,0,part1
00:00:01:620,0,0,part1
00:00:01:640,0,0,part1
00:00:01:660,0,0,part1
00:00:01:680,0,0,part1
00:00:01:700,0,0,part1
00:00:01:720,0,0,part1
00:00:01:740,0,0,part1
00:00:01:760,0,0,part1
00:00:01:780,0,0,part1
00:00:01:800,0,0,part1
00:00:01:820,0,0,part1
00:00:01:840,0,0,part1
00:00:01:860,0,0,part1
00:00:01:880,0,0,part1
00:00:01:900,0,0,part1
00:00:01:920,0,0,part1
00:00:01:940,0,0,part1
00:00:01:960,0,0,part1
00:00:01:980,0,0,part1
00:00:02:000,0,0,part1
00:00:02:020,0,0,part1
00:00:02:040,0,0,part1
00:00:02:060,0,0,part1
00:00:02:080,0,0,part1
00:00:02:100,0,0,part1
00:00:02:120,0,0,part1
00:00:02:140,0,0,part1
00:00:02:160,0,0,part1
00:00:02:180,0,0,part1
00:00:02:200,0,0,part1
00:00:02:220,0,0,part1
00:00:02:240,0,0,part1
00:00:02:260,0,0,part1
00:00:02:280,0,0,part1
00:00:02:300,0,0,part1
00:00:02:320,0,0,part1
00:00:02:340,0,0,part1
00:00:02:360,0,0,part1
00:00:02:380,0,0,part1
00:00:02:400,0,0,part1
00:00:02:420,0,0,part1
00:00:02:440,0,0,part1
00:00:02:460,0,0,part1
00:00:02:480,0,0,part1
00:00:02:500,0,0,part1
00:00:02:520,0,0,part1
00:00:02:540,0,0,part1
00:00:02:560,0,0,part1
00:00:02:580,0,0,part1
00:00:02:600,0,0,part1
00:00:02:620,0,0,part1
00:00:02:640,0,0,part1
00:00:02:660,0,0,part1
00:00:02:680,0,0,part1
00:00:02:700,0,0,part1
00:00:02:720,0,0,part1
00:00:02:740,0,0,part1
00:00:02:760,0,0,part1
00:00:02:780,0,0,part1
00:00:02:800,0,0,part1
00:00:02:820,0,0,part1
00:00:02:840,0,0,part1
00:00:02:860,0,0,part1
00:00:02:880,0,0,part1
00:00:02:900,0,0,part1
00:00:02:920,0,0,part1
00:00:02:940,0,0,part1
00:00:02:960,0,0,part1
00:00:02:980,0,0,part1
00:00:03:000,0,0,part1
00:00:03:020,0,0,part1
00:00:03:040,0,0,part1
00:00:03:060,0,0,part1
00:00:03:080,0,0,part1
00:00:03:100,0,0,part1
00:00:03:120,0,0,part1
00:00:03:140,0,0,part1
00:00:03:160,0,0,part1
00:00:03:180,0,0,part1
00:00:03:200,0,0,part1
00:00:03:220,0,0,part1
00:00:03:240,0,0,part1
00:00:03:260,0,0,part1
00:00:03:280,0,0,part1
00:00:03:300,0,0,part1
00:00:03:320,0,0,part1
00:00:03:340,0,0,part1
00:00:03:360,0,0,part1
00:00:03:380,0,0,part1
00:00:03:400,0,0,part1
00:00:03:420,0,0,part1
00:00:03:440,0,0,part1
00:00:03:460,0,0,part1
00:00:03:480,0,0,part1
00:00:03:500,0,0,part1
00:00:03:520,0,0,part1
00:00:03:540,0,0,part1
00:00:03:560,0,0,part1
00:00:03:580,0,0,part1
